Il,Ilce,Latitude,Longitude
Adana,Seyhan,36.9674013,35.2587964
Adana,Ceyhan,37.028765,35.8124309
Adana,Feke,37.814467,35.910391
Adana,Karaisalı,37.2758825,35.1268781
Adana,Karataş,36.6649776,35.2587964
Adana,Kozan,37.452122,35.819273
Adana,Pozantı,37.425584,34.873613
Adana,Saimbeyli,37.98609,36.089587
Adana,Tufanbeyli,38.26253700000001,36.220484
Adana,Yumurtalık,36.767439,35.7299549
Adana,Yüreğir,36.83214,35.4343604
Adana,Aladağ,37.545348,35.394608
Adana,İmamoğlu,37.287259,35.5876697
Adana,Sarıçam,37.1034441,35.5220012
Adana,Çukurova,37.0840599,35.1928634
Adıyaman,Adıyaman Merkez,37.78664270000001,38.2322028
Adıyaman,Besni,37.6933587,37.8608708
Adıyaman,Çelikhan,38.03307,38.237197
Adıyaman,Gerger,38.028856,39.0322699
Adıyaman,Gölbaşı / Adıyaman,37.7708763,37.5960704
Adıyaman,Kahta,37.786899,38.619005
Adıyaman,Samsat,37.579209,38.482441
Adıyaman,Sincik,38.032169,38.631121
Adıyaman,Tut,37.7998629,37.9572703
Afyonkarahisar,Afyonkarahisar Merkez,38.740978,30.5739579
Afyonkarahisar,Bolvadin,38.71259999999999,31.0484
Afyonkarahisar,Çay,38.5922569,31.026043
Afyonkarahisar,Dazkırı,37.9199,29.8601
Afyonkarahisar,Dinar,38.1312284,30.29741989999999
Afyonkarahisar,Emirdağ,39.0202,31.151
Afyonkarahisar,İhsaniye,39.031881,30.416788
Afyonkarahisar,Sandıklı,38.465179,30.272628
Afyonkarahisar,Sinanpaşa,38.742188,30.24481
Afyonkarahisar,Sultandağı,38.531637,31.229912
Afyonkarahisar,Şuhut,38.532897,30.544417
Afyonkarahisar,Başmakçı,37.898784,30.009285
Afyonkarahisar,Bayat / Afyonkarahisar,38.984257,30.923901
Afyonkarahisar,İscehisar,38.861286,30.749196
Afyonkarahisar,Çobanlar,38.7247249,30.8269231
Afyonkarahisar,Evciler,38.04183099999999,29.885836
Afyonkarahisar,Hocalar,38.576673,29.969668
Afyonkarahisar,Kızılören,38.2600511,30.182022
Ağrı,Ağrı Merkez,39.7928954,43.1795757
Ağrı,Diyadin,39.5401,43.6773
Ağrı,Doğubayazıt,39.54707399999999,44.06877799999999
Ağrı,Eleşkirt,39.8014,42.6768
Ağrı,Hamur,39.4672359,43.1108921
Ağrı,Patnos,39.1407629,42.8803468
Ağrı,Taşlıçay,39.63608,43.381033
Ağrı,Tutak,39.5422,42.7718
Amasya,Amasya Merkez,40.5691446,35.9208448
Amasya,Göynücek,40.397399,35.524242
Amasya,Gümüşhacıköy,40.873622,35.2159369
Amasya,Merzifon,40.87477,35.461753
Amasya,Suluova,40.836475,35.645599
Amasya,Taşova,40.760551,36.322542
Amasya,Hamamözü,40.782672,35.023334
Ankara,Altındağ,40.0092683,32.9833371
Ankara,Ayaş,40.0190344,32.3107517
Ankara,Bala,39.553374,33.123771
Ankara,Beypazarı,40.168218,31.920441
Ankara,Çamlıdere,40.49162,32.476536
Ankara,Çankaya,39.8451842,32.9212265
Ankara,Çubuk,40.23874,33.032668
Ankara,Elmadağ,39.922129,33.226266
Ankara,Güdül,40.210512,32.24553
Ankara,Haymana,39.434232,32.495657
Ankara,Kalecik,40.1065309,33.411384
Ankara,Kızılcahamam,40.470348,32.650203
Ankara,Nallıhan,40.188868,31.350617
Ankara,Polatlı,39.6078234,32.0837445
Ankara,Şereflikoçhisar,38.93789,33.53916
Ankara,Yenimahalle,40.0129334,32.740723
Ankara,Gölbaşı / Ankara,39.79829300000001,32.805752
Ankara,Keçiören,40.0210623,32.831015
Ankara,Mamak,39.9124056,33.0563914
Ankara,Sincan,39.8544476,32.424074
Ankara,Kazan,40.205167,32.681182
Ankara,Akyurt,40.1329566,33.1145764
Ankara,Etimesgut,39.8346129,32.6051351
Ankara,Evren,39.020236,33.805793
Ankara,Pursaklar,40.038463,32.903356
Antalya,Akseki,37.045953,31.790369
Antalya,Alanya,36.544443,31.995408
Antalya,Elmalı,36.737838,29.916662
Antalya,Finike,36.297191,30.146037
Antalya,Gazipaşa,36.268562,32.314304
Antalya,Gündoğmuş,36.81494199999999,31.99895799999999
Antalya,Kaş,36.199913,29.63955
Antalya,Korkuteli,37.0978113,30.2512728
Antalya,Kumluca,36.366948,30.28576499999999
Antalya,Manavgat,36.786869,31.441282
Antalya,Serik,36.917399,31.10444699999999
Antalya,Demre,36.244444,29.987479
Antalya,İbradı,37.168457,31.4913182
Antalya,Kemer / Antalya,36.602792,30.559762
Antalya,Aksu / Antalya,36.9441406,30.8333348
Antalya,Döşemealtı,37.023026,30.60120899999999
Antalya,Kepez,37.0193119,30.73499499999999
Antalya,Konyaaltı,36.837532,30.4818446
Antalya,Muratpaşa,36.8827594,30.769476
Artvin,Ardanuç,41.123378,42.065529
Artvin,Arhavi,41.353055,41.308995
Artvin,Artvin Merkez,41.1662659,41.8416848
Artvin,Borçka,41.3637,41.6791
Artvin,Hopa,41.39461800000001,41.419843
Artvin,Şavşat,41.252757,42.354672
Artvin,Yusufeli,40.8106038,41.5270654
Artvin,Murgul,41.278487,41.562261
Aydın,Bozdoğan,37.672873,28.310157
Aydın,Çine,37.614081,28.06114
Aydın,Germencik,37.872648,27.601134
Aydın,Karacasu,37.729068,28.607231
Aydın,Koçarlı,37.762029,27.704495
Aydın,Kuşadası,37.857913,27.261015
